epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.41819,3.21256,3.69617,3.12487,0.00267,0.8,0.07007,0.01672,3.40266,5.03084,3.8532,0.0001,0.0001,0.0001
2,4.53442,2.44938,3.46553,2.53188,0.00333,1,0.11245,0.03419,2.72876,4.46534,2.80148,0.000217822,0.000217822,0.000217822
3,5.61817,2.17622,2.94721,2.22781,0.003,0.9,0.15402,0.03178,2.7944,4.29837,2.89593,0.000333268,0.000333268,0.000333268
4,6.61854,2.12523,2.74563,2.18013,0.00233,0.7,0.12182,0.02822,3.18251,4.28353,3.90083,0.000446338,0.000446338,0.000446338
5,7.61025,2.04819,2.94286,2.18607,0.00167,0.5,0.03603,0.01047,3.39412,4.42352,4.39662,0.000557032,0.000557032,0.000557032
6,8.62562,2.05086,2.79082,2.13953,0.002,0.6,0.00568,0.00112,3.27997,4.40325,4.52048,0.00066535,0.00066535,0.00066535
7,9.67152,2.03485,2.65341,2.14088,0.00283,0.85,0.06646,0.01381,3.37899,4.61879,3.50568,0.000771292,0.000771292,0.000771292
8,10.7539,2.12811,2.7387,2.27549,0.01194,0.85,0.07091,0.02172,2.42328,3.73813,2.64823,0.000874858,0.000874858,0.000874858
9,11.767,1.98238,2.92345,2.00676,0.003,0.9,0.06183,0.01735,2.73848,4.06885,4.27606,0.000976048,0.000976048,0.000976048
10,12.8042,2.01818,2.79513,2.10248,0.01094,0.85,0.10816,0.03572,2.53081,3.56927,3.00678,0.00107486,0.00107486,0.00107486
11,13.8521,2.20294,2.73638,2.2634,0.12473,0.75,0.26866,0.06498,2.29792,3.11931,2.47115,0.0011713,0.0011713,0.0011713
12,14.9161,1.92789,2.67142,2.10919,0.53631,0.46319,0.42253,0.11544,2.67347,3.16691,2.97472,0.00126536,0.00126536,0.00126536
13,15.9618,2.08735,2.65107,2.12438,0.3672,0.5,0.33609,0.1183,2.52308,3.15484,2.83905,0.00135705,0.00135705,0.00135705
