epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.278,3.30488,4.04271,3.20735,0.00283,0.85,0.03001,0.00514,3.44248,5.3407,4.0011,0.0001,0.0001,0.0001
2,13.4343,2.37733,3.73941,2.51893,0.00317,0.95,0.00776,0.00239,2.42172,4.2892,3.27513,0.000217822,0.000217822,0.000217822
3,14.4374,2.28273,3.3581,2.25716,0.003,0.9,0.00724,0.00203,2.63136,4.40705,3.73297,0.000333268,0.000333268,0.000333268
4,15.4178,2.16773,3.0216,2.32614,0.00333,1,0.00875,0.00272,2.22574,4.36369,3.22242,0.000446338,0.000446338,0.000446338
5,16.3827,2.12726,2.97582,2.24407,0.00333,1,0.22818,0.03605,2.15679,3.99939,2.97831,0.000557032,0.000557032,0.000557032
6,17.3923,1.96897,2.82274,2.30446,0.00317,0.95,0.44742,0.14037,1.95552,3.66137,2.31492,0.00066535,0.00066535,0.00066535
7,18.4002,1.93253,2.63178,2.11176,0.00333,1,0.30391,0.10599,1.90742,3.76807,2.23677,0.000771292,0.000771292,0.000771292
8,19.3585,2.16937,2.70867,2.17213,0.08709,0.6,0.28406,0.05823,2.28383,4.06171,2.97387,0.000874858,0.000874858,0.000874858
9,20.3257,2.10007,3.06407,2.12244,0.34971,0.4,0.23158,0.05194,2.30719,3.95557,3.31779,0.000976048,0.000976048,0.000976048
10,21.2861,2.10144,2.97144,2.13607,0.26952,0.68282,0.24849,0.05408,2.57891,4.57664,2.96303,0.00107486,0.00107486,0.00107486
11,22.2395,2.11611,2.81022,2.06924,0.52934,0.6,0.58362,0.11326,2.71333,5.62204,4.10942,0.0011713,0.0011713,0.0011713
12,23.193,2.22815,2.83991,2.30892,0.32865,0.65,0.35039,0.07897,2.7366,6.86941,3.86598,0.00126536,0.00126536,0.00126536
13,24.1614,2.0839,3.11911,2.09798,0.0484,0.75,0.27408,0.05927,2.90681,34.1019,6.17166,0.00135705,0.00135705,0.00135705
14,25.1318,2.10761,2.71375,2.16721,0.40186,0.4,0.25867,0.07842,2.69015,3.15942,4.92026,0.00144636,0.00144636,0.00144636
15,26.082,2.02585,2.57097,2.11783,0.37636,0.48322,0.29776,0.08321,2.50469,3.2342,4.2436,0.00153329,0.00153329,0.00153329
16,27.0492,2.05633,2.69724,2.11814,0.25765,0.45,0.17867,0.0595,2.22858,3.23893,2.92662,0.00161785,0.00161785,0.00161785
17,28.0153,2.02601,2.57354,2.14927,0.29292,0.45,0.24894,0.06042,2.25156,4.29386,2.78277,0.0016832,0.0016832,0.0016832
18,28.9932,2.06737,2.64963,2.25331,0.32647,0.45,0.27137,0.08726,2.33789,3.98797,2.68256,0.0016634,0.0016634,0.0016634
19,29.9564,2.0214,2.50331,2.02507,0.69474,0.22948,0.34657,0.09576,2.33444,2.90926,2.71387,0.0016436,0.0016436,0.0016436
20,30.9292,2.09862,2.45992,2.20154,0.16022,0.35302,0.16933,0.04487,2.4457,3.37839,2.81563,0.0016238,0.0016238,0.0016238
21,31.8857,2.05347,2.62978,2.04692,0.27184,0.6,0.30862,0.06633,2.8549,6.5198,3.57623,0.001604,0.001604,0.001604
22,32.8423,1.99383,2.28039,1.96582,0.159,0.55,0.26695,0.08148,2.55314,16.6886,2.93683,0.0015842,0.0015842,0.0015842
23,33.7894,1.98899,2.542,2.13315,0.12622,0.65,0.2199,0.05922,2.5761,15.2744,2.94617,0.0015644,0.0015644,0.0015644
24,34.7481,1.99255,2.46343,2.05164,0.28766,0.65,0.26666,0.08873,2.3289,8.11689,2.61238,0.0015446,0.0015446,0.0015446
25,35.7034,1.99914,2.45682,2.0376,0.32517,0.6,0.40131,0.12743,2.17337,7.23787,2.52749,0.0015248,0.0015248,0.0015248
26,36.6719,2.07048,2.27733,2.09221,0.60479,0.7,0.52307,0.13173,2.40138,4.90073,2.75669,0.001505,0.001505,0.001505
27,37.6195,1.8213,2.29305,1.95336,0.60393,0.7,0.5531,0.14746,2.34916,4.00771,2.55487,0.0014852,0.0014852,0.0014852
28,38.5834,1.99011,2.22575,2.00405,0.68259,0.7,0.60029,0.18291,2.31426,5.54639,2.6922,0.0014654,0.0014654,0.0014654
29,39.5406,1.91396,2.34239,2.05106,0.6268,0.7,0.58251,0.1834,2.21791,6.03589,2.59518,0.0014456,0.0014456,0.0014456
30,40.5046,2.02708,2.38057,2.07728,0.58655,0.65,0.5076,0.14048,2.41302,2.39503,2.40436,0.0014258,0.0014258,0.0014258
31,41.4511,1.96397,2.49499,2.08523,0.71317,0.7,0.63557,0.18636,2.33214,2.51245,2.32421,0.001406,0.001406,0.001406
32,42.4285,1.95495,2.27541,1.98355,0.63994,0.65,0.5064,0.13161,2.26421,2.90903,2.51349,0.0013862,0.0013862,0.0013862
33,43.3788,1.97305,2.28741,2.01459,0.51576,0.5,0.41657,0.1193,2.21359,3.14865,2.69652,0.0013664,0.0013664,0.0013664
34,44.3442,1.84977,2.12734,1.91442,0.55828,0.5,0.39765,0.10227,2.22797,2.80545,2.82922,0.0013466,0.0013466,0.0013466
35,45.2982,2.06652,2.64516,2.20988,0.52659,0.6,0.46866,0.12084,1.99299,2.87704,2.39293,0.0013268,0.0013268,0.0013268
36,46.2558,1.95516,2.25478,1.98685,0.2618,0.67407,0.43011,0.10934,2.29153,2.37821,2.4276,0.001307,0.001307,0.001307
37,47.2138,1.95696,2.12545,1.99598,0.10646,0.1,0.06567,0.01662,3.18601,3.2123,3.12351,0.0012872,0.0012872,0.0012872
38,48.1871,2.01423,2.21268,2.05349,0.4685,0.57346,0.40856,0.13975,2.09383,2.42721,2.40698,0.0012674,0.0012674,0.0012674
39,49.1353,1.9503,2.1574,1.97545,0.48921,0.55,0.49111,0.11978,2.03437,2.63064,2.28001,0.0012476,0.0012476,0.0012476
40,50.0955,2.01644,2.21322,2.03321,0.32711,0.68086,0.36299,0.1037,2.14077,2.59348,2.28082,0.0012278,0.0012278,0.0012278
41,51.0584,1.95544,2.29589,2.01889,0.28153,0.75,0.43385,0.12374,2.19451,2.52698,2.24688,0.001208,0.001208,0.001208
42,52.0142,2.0823,2.34682,2.05264,0.57292,0.53711,0.46395,0.14258,2.22822,2.33609,2.22653,0.0011882,0.0011882,0.0011882
43,52.9639,2.01248,2.11837,1.97339,0.68072,0.7,0.64054,0.1919,2.1576,2.18066,2.20069,0.0011684,0.0011684,0.0011684
44,53.9443,2.05641,2.06184,1.99606,0.51868,0.55,0.53207,0.15278,2.17325,2.14774,2.19322,0.0011486,0.0011486,0.0011486
45,54.9059,1.91579,2.21484,1.99816,0.72132,0.7,0.71189,0.18261,2.15536,2.1393,2.1862,0.0011288,0.0011288,0.0011288
46,55.8686,1.91219,2.20049,2.10431,0.78196,0.71786,0.66878,0.1962,2.06755,2.33996,2.13731,0.001109,0.001109,0.001109
47,56.8295,2.04482,2.27963,2.13675,0.71206,0.65,0.59303,0.19737,2.04454,2.25974,2.1479,0.0010892,0.0010892,0.0010892
48,57.7878,1.94744,2.142,2.10076,0.51594,0.6,0.47172,0.1444,2.11233,2.14636,2.2696,0.0010694,0.0010694,0.0010694
49,58.7476,1.93075,2.10414,2.0469,0.44383,0.55,0.40452,0.1282,2.09234,2.1267,2.24119,0.0010496,0.0010496,0.0010496
50,59.7044,1.82406,2.18469,1.96595,0.18682,0.7,0.43484,0.13284,2.24844,2.11372,2.27516,0.0010298,0.0010298,0.0010298
51,60.6547,1.80525,2.06898,1.92597,0.22498,0.8,0.51364,0.14986,2.08108,2.18779,2.13757,0.00101,0.00101,0.00101
52,61.6241,1.86227,2.05563,1.92464,0.3503,0.70096,0.43385,0.12724,1.97368,2.22098,2.08928,0.0009902,0.0009902,0.0009902
53,62.5757,1.90661,2.09604,1.98653,0.34498,0.36921,0.33675,0.08943,2.08514,2.28231,2.1582,0.0009704,0.0009704,0.0009704
54,63.5314,1.80218,2.10946,1.89473,0.36875,0.73049,0.58006,0.14915,2.10788,2.2387,2.11899,0.0009506,0.0009506,0.0009506
55,64.4767,1.75445,1.97121,1.8606,0.43178,0.7,0.589,0.15183,2.12969,2.29991,2.12079,0.0009308,0.0009308,0.0009308
56,65.4515,2.22328,2.09584,2.25884,0.47123,0.6,0.53819,0.18235,2.2692,2.40173,2.18845,0.000911,0.000911,0.000911
57,66.4045,1.91878,2.07183,2.04142,0.47181,0.6,0.51719,0.15537,2.29671,2.29785,2.24636,0.0008912,0.0008912,0.0008912
58,67.3715,1.8884,1.90785,1.96081,0.44936,0.5,0.42049,0.1221,2.23654,2.11212,2.24444,0.0008714,0.0008714,0.0008714
59,68.3275,1.90169,2.06086,1.94672,0.53331,0.55,0.47985,0.13691,2.05507,2.15641,2.08552,0.0008516,0.0008516,0.0008516
60,69.2967,1.89065,2.0137,1.93441,0.56714,0.55,0.42953,0.14854,2.04551,2.19681,2.04678,0.0008318,0.0008318,0.0008318
61,70.2634,1.82812,2.05151,1.87943,0.60425,0.6,0.48603,0.15197,2.08544,2.22772,2.06634,0.000812,0.000812,0.000812
62,71.223,1.85708,2.10585,1.91997,0.41606,0.65,0.49249,0.14497,2.09385,2.32408,2.06517,0.0007922,0.0007922,0.0007922
